Viens	VER:pres	venir
,	PUN	,
suis	VER:pres	suivre|être
-moi	PRO:PER	moi
.	SENT	.
La	DET:ART	le
sultane	NOM	sultane
en	PRP	en
ce	PRO:DEM	ce
lieu	NOM	lieu
se	PRO:PER	se
doit	VER:pres	devoir
rendre	VER:infi	rendre
.	SENT	.
Je	PRO:PER	je
pourrai	VER:futu	pouvoir
cependant	ADV	cependant
te	PRO:PER	te
parler	VER:infi	parler
,	PUN	,
et	KON	et
t'	PRO:PER	te
entendre	VER:infi	entendre
.	SENT	.
Et	KON	et
depuis	PRP	depuis
quand	KON	quand
Seigneur	NAM	Seigneur
,	PUN	,
entre-t	VER:simp	entre-t
-on	PRO:PER	on
dans	PRP	dans
ces	PRO:DEM	ce
lieux	NOM	lieu
,	PUN	,
Dont	VER:futu	Dont
l'	DET:ART	le
accès	NOM	accès
était	VER:impf	être
même	ADV	même
interdit	VER:pper	interdire
à	PRP	à
nos	DET:POS	notre
yeux	NOM	œil
?	SENT	?
Jadis	ADV	jadis
une	DET:ART	un
mort	NOM	mort
prompte	ADJ	prompt
eut	VER:simp	avoir
suivi	VER:pper	suivre
cette	PRO:DEM	ce
audace	NOM	audace
.	SENT	.
Quand	KON	quand
tu	PRO:PER	tu
seras	VER:futu	être
instruit	VER:pper	instruire
de	PRP	de
tout	PRO:IND	tout
ce	PRO:DEM	ce
qui	PRO:REL	qui
se	PRO:PER	se
passe	VER:pres	passer
,	PUN	,
Mon	NAM	Mon
entrée	NOM	entrée
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
ne	ADV	ne
te	PRO:PER	te
surprendra	VER:futu	surprendre
plus	ADV	plus
.	SENT	.
Mais	KON	mais
laissons	VER:pres	laisser
,	PUN	,
cher	ADV	cher
Osmin	NAM	Osmin
,	PUN	,
les	DET:ART	le
discours	NOM	discours
superflus	ADJ	superflu
.	SENT	.
Que	KON	que
ton	DET:POS	ton
retour	NOM	retour
tardait	VER:impf	tarder
à	PRP	à
mon	DET:POS	mon
impatience	NOM	impatience
!	SENT	!
Et	KON	et
que	KON	que
d'	PRP	de
un	DET:ART	un
oil	NOM	oil
content	ADJ	content
je	PRO:PER	je
te	PRO:PER	te
vois	VER:pres	voir
dans	PRP	dans
Byzance	NAM	Byzance
!	SENT	!
Instruis	VER:pres	instruire
-moi	PRO:PER	moi
des	PRP:det	du
secrets	NOM	secret
que	PRO:REL	que
peut	VER:pres	pouvoir
t'	PRO:PER	te
avoir	VER:infi	avoir
appris	VER:pper	apprendre
Un	NAM	Un
voyage	VER:pres	voyager
si	ADV	si
long	ADJ	long
pour	PRP	pour
moi	PRO:PER	moi
seul	NOM	seul
entrepris	VER:pper	entreprendre
.	SENT	.
De	PRP	de
ce	PRO:DEM	ce
qu'	PRO:REL	que
ont	VER:pres	avoir
vu	VER:pper	voir
tes	DET:POS	ton
yeux	NOM	œil
parle	VER:pres	parler
en	PRP	en
témoin	NOM	témoin
sincère	ADJ	sincère
.	SENT	.
Songe	NOM	songe
que	KON	que
du	PRP:det	du
récit	NOM	récit
,	PUN	,
Osmin	NAM	Osmin
,	PUN	,
que	PRO:REL	que
tu	PRO:PER	tu
vas	VER:pres	aller
faire	VER:infi	faire
,	PUN	,
Dépendent	VER:pres	dépendre
les	DET:ART	le
destins	NOM	destin
de	PRP	de
l'	DET:ART	le
empire	NOM	empire
ottoman	ADJ	ottoman
.	SENT	.
Qu'	KON	que
as	VER:pres	avoir
-tu	PRO:PER	tu
vu	VER:pper	voir
dans	PRP	dans
l'	DET:ART	le
armée	NOM	armée
,	PUN	,
et	KON	et
que	PRO:REL	que
fait	VER:pres	faire
le	DET:ART	le
sultan	NOM	sultan
?	SENT	?
Babylone	NAM	Babylone
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
à	PRP	à
son	DET:POS	son
prince	NOM	prince
fidèle	ADJ	fidèle
,	PUN	,
Voyait	VER:impf	voir
sans	PRP	sans
s'	PRO:PER	se
étonner	VER:infi	étonner
notre	DET:POS	notre
armée	NOM	armée
autour	ADV	autour
d'	PRP	de
elle	PRO:PER	elle
,	PUN	,
Les	DET:ART	le
Persans	NOM	persan
rassemblés	VER:pper	rassembler
marchaient	VER:impf	marcher
à	PRP	à
son	DET:POS	son
secours	NOM	secours
,	PUN	,
Et	NOM	Et
du	PRP:det	du
camp	NOM	camp
d'	PRP	de
Amurat	NAM	Amurat
s'	PRO:PER	se
approchaient	VER:impf	approcher
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
.	SENT	.
Lui	PRO:PER	lui
-même	ADJ	même
fatigué	VER:pper	fatiguer
d'	PRP	de
un	DET:ART	un
long	ADJ	long
siège	NOM	siège
inutile	ADJ	inutile
,	PUN	,
Semblait	VER:impf	sembler
vouloir	VER:infi	vouloir
laisser	VER:infi	laisser
Babylone	NAM	Babylone
tranquille	ADJ	tranquille
,	PUN	,
Et	NOM	Et
sans	PRP	sans
renouveler	VER:infi	renouveler
ses	DET:POS	son
assauts	NOM	assaut
impuissants	ADJ	impuissant
,	PUN	,
Résolu	NOM	Résolu
de	PRP	de
combattre	VER:infi	combattre
,	PUN	,
attendait	VER:impf	attendre
les	DET:ART	le
Persans	NOM	persan
.	SENT	.
Mais	KON	mais
comme	KON	comme
vous	PRO:PER	vous
savez	VER:pres	savoir
,	PUN	,
malgré	PRP	malgré
ma	DET:POS	mon
diligence	NOM	diligence
,	PUN	,
Un	VER:simp	Un
long	ADJ	long
chemin	NOM	chemin
sépare	VER:pres	séparer
et	KON	et
le	DET:ART	le
camp	NOM	camp
et	KON	et
Byzance	NAM	Byzance
.	SENT	.
Mille	NUM	mille
obstacles	NOM	obstacle
divers	ADJ	divers
m'	PRO:PER	me
ont	VER:pres	avoir
même	ADV	même
traversé	VER:pper	traverser
,	PUN	,
Et	VER:impf	Et
je	PRO:PER	je
puis	ADV	puis
ignorer	VER:infi	ignorer
tout	PRO:IND	tout
ce	PRO:DEM	ce
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
passé	VER:pper	passer
.	SENT	.
Que	PRO	que
faisaient	VER:impf	faire
cependant	ADV	cependant
nos	DET:POS	notre
braves	ADJ	brave
janissaires	NOM	janissaire
?	SENT	?
Rendent	VER:pres	rendre
-ils	PRO:PER	il
au	PRP:det	au
sultan	NOM	sultan
des	PRP:det	du
hommages	NOM	hommage
sincères	ADJ	sincère
?	SENT	?
Dans	PRP	dans
le	DET:ART	le
secret	NOM	secret
des	PRP:det	du
cours	NOM	cour|cours
,	PUN	,
Osmin	NAM	Osmin
,	PUN	,
n'	ADV	ne
as	VER:pres	avoir
-tu	PRO:PER	tu
rien	ADV	rien
lu	VER:pper	lire
?	SENT	?
Amurat	NOM	Amurat
jouit-il	NOM	jouit-il
d'	PRP	de
un	DET:ART	un
pouvoir	NOM	pouvoir
absolu	ADJ	absolu
?	SENT	?
Amurat	NAM	Amurat
est	VER:pres	être
content	ADJ	content
,	PUN	,
si	KON	si
nous	PRO:PER	nous
le	PRO:PER	le
voulons	VER:pres	vouloir
croire	VER:infi	croire
,	PUN	,
Et	NAM	Et
semblait	VER:impf	sembler
se	PRO:PER	se
promettre	VER:infi	promettre
une	DET:ART	un
heureuse	ADJ	heureux
victoire	NOM	victoire
.	SENT	.
Mais	KON	mais
en	PRP	en
vain	ADJ	vain
par	PRP	par
ce	PRO:DEM	ce
calme	NOM	calme
il	PRO:PER	il
croit	VER:pres	croire
nous	PRO:PER	nous
éblouir	VER:infi	éblouir
.	SENT	.
Il	PRO:PER	il
affecte	VER:pres	affecter
un	DET:ART	un
repos	NOM	repos
dont	PRO:REL	dont
il	PRO:PER	il
ne	ADV	ne
peut	VER:pres	pouvoir
jouir	VER:infi	jouir
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
vain	ADJ	vain
que	KON	que
forçant	VER:ppre	forcer
ses	DET:POS	son
soupçons	NOM	soupçon
ordinaires	ADJ	ordinaire
Il	VER:futu	Il
se	PRO:PER	se
rend	VER:pres	rendre
accessible	ADJ	accessible
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
janissaires	NOM	janissaire
.	SENT	.
Il	PRO:PER	il
se	PRO:PER	se
souvient	VER:pres	souvenir
toujours	ADV	toujours
que	KON	que
son	DET:POS	son
inimitié	NOM	inimitié
Voulut	VER:simp	vouloir
de	PRP	de
ce	PRO:DEM	ce
grand	ADJ	grand
corps	NOM	corps
retrancher	VER:infi	retrancher
la	DET:ART	le
moitié	NOM	moitié
,	PUN	,
Lorsque	NAM	Lorsque
pour	KON	pour
affermir	VER:infi	affermir
sa	DET:POS	son
puissance	NOM	puissance
nouvelle	ADJ	nouveau
Il	NOM	Il
voulait	VER:impf	vouloir
,	PUN	,
disait-il	NOM	disait-il
,	PUN	,
sortir	VER:infi	sortir
de	PRP	de
leur	DET:POS	leur
tutelle	NOM	tutelle
.	SENT	.
Moi	PRO:PER	moi
-même	ADJ	même
j'	PRO:PER	je
ai	VER:pres	avoir
souvent	ADV	souvent
entendu	VER:pper	entendre
leurs	DET:POS	leur
discours	NOM	discours
:	PUN	:
Comme	KON	comme
il	PRO:PER	il
les	PRO:PER	la|le
craint	VER:pres	craindre
sans	PRP	sans
cesse	NOM	cesse
ils	PRO:PER	il
le	PRO:PER	le
craignent	VER:pres	craindre
toujours	ADV	toujours
.	SENT	.
Ses	DET:POS	son
caresses	NOM	caresse
n'	ADV	ne
ont	VER:pres	avoir
point	ADV	point
effacé	VER:pper	effacer
cette	PRO:DEM	ce
injure	NOM	injure
.	SENT	.
Votre	DET:POS	votre
absence	NOM	absence
est	VER:pres	être
pour	PRP	pour
eux	PRO:PER	eux
un	DET:ART	un
sujet	NOM	sujet
de	PRP	de
murmure	NOM	murmure
.	SENT	.
Ils	PRO:PER	il
regrettent	VER:pres	regretter
le	DET:ART	le
temps	NOM	temps
à	PRP	à
leur	DET:POS	leur
grand	ADJ	grand
coeur	NOM	cœur
si	ADV	si
doux	ADJ	doux
,	PUN	,
Lorsque	VER:pres	Lorsque
assurés	VER:pper	assurer
de	PRP	de
vaincre	VER:infi	vaincre
ils	PRO:PER	il
combattaient	VER:impf	combattre
sous	PRP	sous
vous	PRO:PER	vous
.	SENT	.
Quoi	PRO	quoi
!	SENT	!
Tu	PRO:PER	tu
crois	VER:pres	croire
,	PUN	,
cher	ADV	cher
Osmin	NAM	Osmin
,	PUN	,
que	KON	que
ma	DET:POS	mon
gloire	NOM	gloire
passée	VER:pper	passer
Flatte	VER:pres	flatter
encor	ADV	encor
leur	DET:POS	leur
valeur	NOM	valeur
,	PUN	,
et	KON	et
vit	VER:pres	vivre
dans	PRP	dans
leur	DET:POS	leur
pensée	NOM	pensée
?	SENT	?
Crois	VER:pres	croire
-tu	PRO:PER	tu
qu'	PRO:REL	que
ils	PRO:PER	il
me	PRO:PER	me
suivraient	VER:cond	suivre
encore	ADV	encore
avec	PRP	avec
plaisir	NOM	plaisir
,	PUN	,
Et	NOM	Et
qu'	PRO:REL	que
ils	PRO:PER	il
reconnaîtraient	VER:cond	reconnaître
la	DET:ART	le
voix	NOM	voix
de	PRP	de
leur	DET:POS	leur
vizir	NOM	vizir
?	SENT	?
Le	DET:ART	le
succès	NOM	succès
du	PRP:det	du
combat	NOM	combat
réglera	VER:futu	régler
leur	DET:POS	leur
conduite	NOM	conduite
.	SENT	.
Il	PRO:PER	il
faut	VER:pres	falloir
voir	VER:infi	voir
du	PRP:det	du
sultan	NOM	sultan
la	DET:ART	le
victoire	NOM	victoire
ou	KON	ou
la	DET:ART	le
fuite	NOM	fuite
.	SENT	.
Quoique	KON	quoique
à	PRP	à
regret	NOM	regret
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
ils	PRO:PER	il
marchent	VER:pres	marcher
sous	PRP	sous
ses	DET:POS	son
lois	NOM	loi
,	PUN	,
Ils	NAM	Ils
ont	VER:pres	avoir
à	PRP	à
soutenir	VER:infi	soutenir
le	DET:ART	le
bruit	NOM	bruit
de	PRP	de
leurs	DET:POS	leur
exploits	NOM	exploit
.	SENT	.
Ils	PRO:PER	il
ne	ADV	ne
trahiront	VER:futu	trahir
point	ADV	point
l'	DET:ART	le
honneur	NOM	honneur
de	PRP	de
tant	ADV	tant
d'	PRP	de
années	NOM	année
.	SENT	.
Mais	KON	mais
enfin	ADV	enfin
le	DET:ART	le
succès	NOM	succès
dépend	VER:pres	dépendre
des	PRP:det	du
destinées	NOM	destinée
.	SENT	.
Si	KON	si
l'	DET:ART	le
heureux	ADJ	heureux
Amurat	NOM	Amurat
secondant	VER:ppre	seconder
leur	DET:POS	leur
grand	ADJ	grand
coeur	NOM	cœur
Aux	VER:subi	Aux
champs	NOM	champ
de	PRP	de
Babylone	NAM	Babylone
est	VER:pres	être
déclaré	VER:pper	déclarer
vainqueur	NOM	vainqueur
,	PUN	,
Vous	NAM	Vous
les	PRO:PER	la|le
verrez	VER:futu	voir
soumis	VER:pper	soumettre
rapporter	VER:infi	rapporter
dans	PRP	dans
Byzance	NAM	Byzance
L'	DET:ART	le
exemple	NOM	exemple
d'	PRP	de
une	DET:ART	un
aveugle	ADJ	aveugle
et	KON	et
basse	ADJ	bas
obéissance	NOM	obéissance
.	SENT	.
Mais	KON	mais
