Oui	INT	oui
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
parlé	VER:pper	parler
,	PUN	,
mon	DET:POS	mon
frère	NOM	frère
,	PUN	,
et	KON	et
pour	PRP	pour
toucher	VER:infi	toucher
son	DET:POS	son
âme	NOM	âme
Dans	VER:futu	Dans
le	DET:ART	le
plus	ADV	plus
vif	ADJ	vif
excès	NOM	excès
j'	PRO:PER	je
ai	VER:pres	avoir
porté	VER:pper	porter
votre	DET:POS	votre
flamme	NOM	flamme
.	SENT	.
J'	PRO:PER	je
ai	VER:pres	avoir
peint	VER:pper	peindre
de	PRP	de
ses	DET:POS	son
transports	NOM	transport
le	DET:ART	le
confus	ADJ	confus
désespoir	NOM	désespoir
,	PUN	,
J'	NAM	J'
ai	VER:pres	avoir
de	PRP	de
l'	DET:ART	le
empereur	NOM	empereur
même	ADV	même
expliqué	VER:pper	expliquer
le	DET:ART	le
pouvoir	NOM	pouvoir
,	PUN	,
Et	NOM	Et
contre	PRP	contre
les	DET:ART	le
dédains	NOM	dédain
dont	PRO:REL	dont
vous	PRO:PER	vous
souffrez	VER:pres	souffrir
l'	DET:ART	le
outrage	NOM	outrage
Fait	VER:futu	Fait
agir	VER:infi	agir
tout	PRO:IND	tout
l'	DET:ART	le
empire	NOM	empire
où	PRO:REL	où
son	DET:POS	son
ordre	NOM	ordre
m'	PRO:PER	me
engage	VER:pres	engager
;	PUN	;
Mais	VER:impf	Mais
d'	PRP	de
un	DET:ART	un
appui	NOM	appui
si	KON	si
fort	ADV	fort
la	DET:ART	le
pleine	ADJ	plein
autorité	NOM	autorité
A	PRP	à
semblé	VER:pper	sembler
moins	ADV	moins
fléchir	VER:infi	fléchir
que	KON	que
croître	VER:infi	croître
sa	DET:POS	son
fierté	NOM	fierté
.	SENT	.
Plus	ADV	plus
j'	PRO:PER	je
en	PRO:PER	en
ai	VER:pres	avoir
crû	VER:pper	croître
par	PRP	par
là	ADV	là
voir	VER:infi	voir
l'	DET:ART	le
ardeur	NOM	ardeur
refroidie	VER:pper	refroidir
,	PUN	,
Plus	NOM	Plus
dans	PRP	dans
son	DET:POS	son
arrogance	NOM	arrogance
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
applaudie	VER:pper	applaudir
,	PUN	,
Et	VER:ppre	Et
mon	DET:POS	mon
zèle	NOM	zèle
pour	KON	pour
vous	PRO:PER	vous
n'	ADV	ne
a	VER:pres	avoir
fait	VER:pper	faire
que	KON	que
confirmer	VER:infi	confirmer
L'	DET:ART	le
injurieux	ADJ	injurieux
orgueil	NOM	orgueil
qui	PRO:REL	qui
l'	PRO:PER	la|le
empêche	VER:pres	empêcher
d'	PRP	de
aimer	VER:infi	aimer
.	SENT	.
Jugez	VER:pres	juger
mieux	ADV	mieux
d'	PRP	de
un	DET:ART	un
mépris	NOM	mépris
dont	PRO:REL	dont
le	DET:ART	le
sort	NOM	sort
est	VER:pres	être
complice	ADJ	complice
,	PUN	,
Il	NAM	Il
détruit	VER:pres	détruire
mon	DET:POS	mon
espoir	NOM	espoir
,	PUN	,
mais	KON	mais
il	PRO:PER	il
lui	PRO:PER	lui
rend	VER:pres	rendre
justice	NOM	justice
.	SENT	.
Dans	PRP	dans
le	DET:ART	le
chemin	NOM	chemin
du	PRP:det	du
trône	NOM	trône
à	PRP	à
sa	DET:POS	son
naissance	NOM	naissance
ouvert	ADJ	ouvert
Placidie	NOM	Placidie
à	PRP	à
son	DET:POS	son
rang	NOM	rang
doit	VER:pres	devoir
l'	DET:ART	le
orgueil	NOM	orgueil
qui	PRO:REL	qui
me	PRO:PER	me
perd	VER:pres	perdre
,	PUN	,
Et	NOM	Et
de	PRP	de
mon	DET:POS	mon
sang	NOM	sang
au	PRP:det	au
sien	PRO:POS	sien
l'	DET:ART	le
union	NOM	union
inégale	ADJ	inégal
Ne	VER:futu	Ne
lui	PRO:PER	lui
saurait	VER:cond	savoir
souffrir	VER:infi	souffrir
un	DET:ART	un
choix	NOM	choix
qui	PRO:REL	qui
la	PRO:PER	la
ravale	VER:pres	ravaler
.	SENT	.
Fille	NOM	fille
de	PRP	de
Théodose	NAM	Théodose
,	PUN	,
et	KON	et
soeur	NOM	sœur
d'	PRP	de
Honorius	NAM	Honorius
,	PUN	,
Sa	NAM	Sa
gloire	NOM	gloire
est	VER:pres	être
attachée	VER:pper	attacher
à	PRP	à
ses	DET:POS	son
justes	ADJ	juste
refus	NOM	refus
.	SENT	.
S'	PRO:PER	se
ils	PRO:PER	il
ont	VER:pres	avoir
pour	PRP	pour
mon	DET:POS	mon
amour	NOM	amour
une	DET:ART	un
rigueur	NOM	rigueur
insigne	ADJ	insigne
,	PUN	,
La	DET:ART	le
faute	NOM	faute
en	PRO:PER	en
est	VER:pres	être
au	PRP:det	au
ciel	NOM	ciel
qui	PRO:REL	qui
m'	PRO:PER	me
en	PRO:PER	en
fit	VER:simp	faire
naître	VER:infi	naître
digne	ADJ	digne
,	PUN	,
Et	VER:simp	Et
quelques	PRO:IND	quelque
rudes	ADJ	rude
maux	NOM	mal
qu'	PRO:REL	que
il	PRO:PER	il
m'	PRO:PER	me
en	PRO:PER	en
faille	VER:pres	failler
sentir	VER:infi	sentir
,	PUN	,
Je	PRO:PER	je
puis	ADV	puis
en	PRP	en
soupirer	VER:infi	soupirer
,	PUN	,
mais	KON	mais
j'	PRO:PER	je
y	PRO:PER	y
dois	VER:pres	devoir
consentir	VER:infi	consentir
.	SENT	.
Quoi	PRO	quoi
?	SENT	?
Vous	PRO:PER	vous
consentirez	VER:futu	consentir
qu'	KON	que
un	DET:ART	un
traitement	NOM	traitement
si	ADV	si
rude	ADJ	rude
Assure	NOM	Assure
un	DET:ART	un
plein	ADJ	plein
triomphe	NOM	triomphe
à	PRP	à
son	DET:POS	son
ingratitude	NOM	ingratitude
,	PUN	,
Et	NOM	Et
que	KON	que
de	PRP	de
vos	DET:POS	votre
soupirs	NOM	soupir
l'	DET:ART	le
hommage	NOM	hommage
rejeté	VER:pper	rejeter
Par	NAM	Par
trop	ADV	trop
de	PRP	de
déférence	NOM	déférence
enfle	VER:pres	enfler
sa	DET:POS	son
vanité	NOM	vanité
?	SENT	?
Non	ADV	non
,	PUN	,
non	ADV	non
,	PUN	,
mon	DET:POS	mon
frère	NOM	frère
,	PUN	,
non	ADV	non
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
trop	ADV	trop
faire	VER:infi	faire
l'	DET:ART	le
esclave	NOM	esclave
,	PUN	,
Il	NAM	Il
est	VER:pres	être
temps	NOM	temps
de	PRP	de
braver	VER:infi	braver
la	DET:ART	le
fierté	NOM	fierté
qui	PRO:REL	qui
vous	PRO:PER	vous
brave	VER:pres	braver
,	PUN	,
Montrez	VER:pres	montrer
sous	PRP	sous
ses	DET:POS	son
dédains	NOM	dédain
un	DET:ART	un
coeur	NOM	cœur
moins	ADV	moins
abattu	VER:pper	abattre
;	PUN	;
Elle	NAM	Elle
a	VER:pres	avoir
de	PRP	de
la	DET:ART	le
naissance	NOM	naissance
,	PUN	,
et	KON	et
vous	PRO:PER	vous
de	PRP	de
la	DET:ART	le
vertu	NOM	vertu
,	PUN	,
Et	VER:pper	Et
de	PRP	de
quoi	PRO	quoi
que	PRO:REL	que
la	PRO:PER	la
flatte	VER:pres	flatter
un	DET:ART	un
