/	PUN	/
speaker	NOM	speaker
>	ADJ	>
Seigneur	NAM	Seigneur
,	PUN	,
en	PRO:PER	en
attendant	VER:ppre	attendre
que	KON	que
Scipion	NAM	Scipion
vous	PRO:PER	vous
voit	VER:pres	voir
,	PUN	,
Je	PRO:PER	je
me	PRO:PER	me
tiens	VER:pres	tenir
honoré	VER:pper	honorer
de	PRP	de
l'	DET:ART	le
ordre	NOM	ordre
qu'	PRO:REL	que
il	PRO:PER	il
m'	PRO:PER	me
envoie	VER:pres	envoyer
,	PUN	,
De	VER:simp	De
vous	PRO:PER	vous
entretenir	VER:infi	entretenir
pendant	PRP	pendant
quelques	PRO:IND	quelque
moments	NOM	moment
,	PUN	,
Nous	PRO:PER	nous
saurons	VER:futu	savoir
d'	PRP	de
Annibal	NAM	Annibal
les	DET:ART	le
secrets	ADJ	secret
sentiments	NOM	sentiment
,	PUN	,
C'	NAM	C'
est	VER:pres	être
vous	PRO:PER	vous
qui	PRO:REL	qui
dans	PRP	dans
ce	PRO:DEM	ce
Camp	NOM	camp
annoncez	VER:pres	annoncer
sa	DET:POS	son
venue	NOM	venu|venue
.	SENT	.
Oui	INT	oui
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
Annibal	NAM	Annibal
souhaite	VER:pres	souhaiter
une	DET:ART	un
entrevue	NOM	entrevue
,	PUN	,
Je	PRO:PER	je
viens	VER:pres	venir
la	PRO:PER	la
demander	VER:infi	demander
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
son	DET:POS	son
intention	NOM	intention
Que	VER:futu	Que
de	PRP	de
voir	VER:infi	voir
aujourd'hui	ADV	aujourd'hui
le	DET:ART	le
fameux	ADJ	fameux
Scipion	NAM	Scipion
;	PUN	;
Aux	NAM	Aux
plaines	NOM	plaine
de	PRP	de
Zama	NAM	Zama
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
l'	DET:ART	le
un	NOM	un
et	KON	et
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
Notre	NAM	Notre
Armée	NAM	Armée
est	VER:pres	être
campée	VER:pper	camper
assez	ADV	assez
près	ADV	près
de	PRP	de
la	DET:ART	le
vôtre	PRO:POS	vôtre
;	PUN	;
Mais	NAM	Mais
Annibal	NAM	Annibal
prétend	VER:pres	prétendre
avec	PRP	avec
lui	PRO:PER	lui
conférer	VER:infi	conférer
,	PUN	,
Et	NAM	Et
je	PRO:PER	je
viens	VER:pres	venir
en	PRP	en
ce	PRO:DEM	ce
Camp	NOM	camp
pour	KON	pour
en	PRP	en
délibérer	VER:infi	délibérer
,	PUN	,
Avant	NAM	Avant
que	KON	que
de	PRP	de
rien	ADV	rien
faire	VER:infi	faire
et	KON	et
de	PRP	de
rien	ADV	rien
entreprendre	VER:infi	entreprendre
.	SENT	.
Sans	PRP	sans
doute	NOM	doute
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
refuser	VER:infi	refuser
de	PRP	de
l'	PRO:PER	la|le
entendre	VER:infi	entendre
;	PUN	;
Nous	PRO:PER	nous
verrons	VER:futu	voir
aujourd'hui	ADV	aujourd'hui
ces	PRO:DEM	ce
deux	NUM	deux
grands	ADJ	grand
Citoyens	NAM	Citoyens
,	PUN	,
Tous	NOM	tous
deux	NUM	deux
de	PRP	de
leur	DET:POS	leur
pays	NOM	pays
la	DET:ART	le
gloire	NOM	gloire
et	KON	et
les	DET:ART	le
soutiens	NOM	soutien
,	PUN	,
Donner	VER:infi	donner
ce	PRO:DEM	ce
peu	ADV	peu
de	PRP	de
trêve	NOM	trêve
à	PRP	à
cette	PRO:DEM	ce
longue	ADJ	longue
guerre	NOM	guerre
,	PUN	,
Pour	NAM	Pour
décider	VER:infi	décider
entre	PRP	entre
eux	PRO:PER	eux
du	PRP:det	du
destin	NOM	destin
de	PRP	de
la	DET:ART	le
terre	NOM	terre
,	PUN	,
Et	NOM	Et
de	PRP	de
leur	DET:POS	leur
